"Data","Dzień","Wykryci zakażeni","Data i godzina rano","Wykryci zakażeni rano"
03/01/20,,,,
03/02/20,,,,
03/03/20,-1,0,,
03/04/20,0,1,,
03/05/20,1,1,,
03/06/20,2,5,,
03/07/20,3,6,,
03/08/20,4,11,,
03/09/20,5,17,,
03/10/20,6,22,,
03/11/20,7,31,,
03/12/20,8,51,,
03/13/20,9,68,,
03/14/20,10,103,,
03/15/20,11,125,,
03/16/20,12,177,2020-03-16 08:43:34,150
03/17/20,13,238,2020-03-17 08:48:02,205
03/18/20,14,287,,
03/19/20,15,355,2020-03-19 08:38:21,305
03/20/20,16,425,2020-03-20 11:29:18,378
03/21/20,17,536,2020-03-21 08:34:18,439
03/22/20,18,634,2020-03-22 08:53:50,547
03/23/20,19,749,2020-03-23 08:38:05,649
03/24/20,20,901,2020-03-24 08:37:19,766
03/25/20,21,1051,2020-03-24 10:27:18,774
03/26/20,22,1221,2020-03-25 08:57:15,927
03/27/20,23,1389,2020-03-27 08:37:54,1244
03/28/20,24,1638,2020-03-28 09:13:03,1436
03/29/20,25,1717,2020-03-29 09:16:49,1717
03/30/20,26,2055,2020-03-30 08:46:55,1905
03/31/20,27,2311,2020-03-31 08:36:09,2132
04/01/20,28,2554,2020-04-01 08:38:05,2347
04/02/20,29,2946,2020-04-02 11:11:06,2633
04/03/20,30,3383,2020-04-03 10:00:29,3149
04/04/20,31,3627,2020-04-04 10:00:49,3503
04/05/20,32,4102,2020-04-05 10:00:34,3834
04/06/20,33,4413,2020-04-06 10:02:06,4201
04/07/20,34,4666,2020-04-07 10:00:44,4532
04/08/20,35,5205,2020-04-08 10:00:57,5000
04/09/20,36,5575,2020-04-09 10:12:07,5341
04/10/20,37,5955,2020-04-10 10:02:37,5742
04/11/20,38,6356,2020-04-11 10:01:52,6088
04/12/20,39,6674,,
04/13/20,40,6934,,
04/14/20,41,7202,2020-04-14 10:03:39,7049
04/15/20,42,7582,2020-04-15 10:01:26,7408
04/16/20,43,7918,2020-04-16 10:01:35,7771
04/17/20,44,8379,2020-04-17 10:00:46,8214
04/18/20,45,8742,2020-04-18 10:00:15,8563
04/19/20,46,9287,2020-04-19 10:02:01,9082
04/20/20,47,9593,2020-04-20 10:01:53,9453
04/21/20,48,9856,2020-04-21 10:00:38,9737
04/22/20,49,10169,2020-04-22 10:00:40,10034
04/23/20,50,10511,2020-04-23 10:01:48,10346
04/24/20,51,10892,2020-04-24 10:05:55,10759
04/25/20,52,11273,2020-04-25 10:01:39,11067
04/26/20,53,11617,2020-04-26 10:15:22,11395
04/27/20,54,11902,2020-04-27 10:01:17,11761
04/28/20,55,12218,2020-04-28 10:01:14,12089
04/29/20,56,12640,2020-04-29 10:00:23,12415
04/30/20,57,12877,2020-04-30 10:00:46,12781